name,link
Hotel Elite Palace,https://www.google.com/maps/place/Hotel+Elite+Palace/data=!4m10!3m9!1s0x37547f78e8490fa3:0x900670ba11521bee!5m2!4m1!1i2!8m2!3d23.4653685!4d91.1746978!16s%2Fg%2F11sx1z6kj8!19sChIJow9J6Hh_VDcR7htSEbpwBpA?authuser=0&hl=en&rclk=1
Grand Castle Hotel,https://www.google.com/maps/place/Grand+Castle+Hotel/data=!4m10!3m9!1s0x37547fed76c55c59:0x469525f5dc6ecde3!5m2!4m1!1i2!8m2!3d23.4509638!4d91.1790379!16s%2Fg%2F11sz18558y!19sChIJWVzFdu1_VDcR481u3PUllUY?authuser=0&hl=en&rclk=1
Red Roof Inn Hotel and Restaurant,https://www.google.com/maps/place/Red+Roof+Inn+Hotel+and+Restaurant/data=!4m10!3m9!1s0x37547ed14d32b033:0x472790d039c0bddb!5m2!4m1!1i2!8m2!3d23.4663443!4d91.1703393!16s%2Fg%2F11b5qw82t_!19sChIJM7AyTdF-VDcR273AOdCQJ0c?authuser=0&hl=en&rclk=1
Hotel Victory Abashik,https://www.google.com/maps/place/Hotel+Victory+Abashik/data=!4m10!3m9!1s0x37547f5458cc06a1:0x26f1bbe7c5fc08ef!5m2!4m1!1i2!8m2!3d23.460319!4d91.1821359!16s%2Fg%2F11hz2y_xs2!19sChIJoQbMWFR_VDcR7wj8xee78SY?authuser=0&hl=en&rclk=1
OASIS Hotel,https://www.google.com/maps/place/OASIS+Hotel/data=!4m10!3m9!1s0x37547f8e598fd6d1:0x72c344e8afbd7c15!5m2!4m1!1i2!8m2!3d23.4514413!4d91.1788218!16s%2Fg%2F11rn248fmt!19sChIJ0daPWY5_VDcRFXy9r-hEw3I?authuser=0&hl=en&rclk=1
